"Sex ratio at birth (male to female births)"
"HDI Rank (2015)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"14"," Sweden","1.06","","1.05","","1.06","","1.06","","1.06","","1.06"," a"
"2"," Switzerland","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"149"," Syrian Arab Republic","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"129"," Tajikistan","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"151"," Tanzania (United Republic of)","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"87"," Thailand","1.05","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"82"," The former Yugoslav Republic of Macedonia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"133"," Timor-Leste","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"166"," Togo","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a"
"101"," Tonga","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"65"," Trinidad and Tobago","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"97"," Tunisia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"71"," Turkey","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"111"," Turkmenistan","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"163"," Uganda","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"84"," Ukraine","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"42"," United Arab Emirates","1.04","","1.05","","1.05","","1.04","","1.05","","1.05"," a"
"16"," United Kingdom","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"10"," United States","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"54"," Uruguay","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"105"," Uzbekistan","1.05","","1.07","","1.06","","1.06","","1.06","","1.06"," a"
"134"," Vanuatu","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"71"," Venezuela (Bolivarian Republic of)","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"115"," Viet Nam","1.05","","1.06","","1.06","","1.07","","1.10","","1.11"," a"
"168"," Yemen","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"139"," Zambia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"154"," Zimbabwe","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a"
