Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Czech Republic,155900.0,157100.0,161100.0,172200.0,204400.0,225500.0,251000.0,264800.0,261500.0,261300.0,286700.0,283600.0,285600.0,285600.0,285600.0
Jordan,22800.0,22630.0,23640.0,25500.0,26850.0,30030.0,28450.0,31680.0,33790.0,34530.0,38670.0,38240.0,40020.0,40020.0,40020.0
Liberia,3600.0,3116.0,3261.0,2903.0,2643.0,2821.0,1525.0,1531.0,1760.0,1691.0,2693.0,2645.0,2898.0,2898.0,2898.0
Kiribati,79.0,79.0,79.0,79.0,142.9,240.0,348.0,580.8,619.5,618.0,624.0,669.0,698.0,698.0,698.0
China,6000000.0,5989000.0,6449000.0,7262000.0,8883000.0,10210000.0,7099000.0,7992000.0,9872000.0,10090000.0,12380000.0,12260000.0,13390000.0,13390000.0,13390000.0
Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6313.0,6313.0,6313.0,6313.0,6313.0
Colombia,255000.0,251600.0,263200.0,281100.0,341100.0,374400.0,327700.0,396000.0,431900.0,435400.0,500000.0,497300.0,526500.0,526500.0,526500.0
Australia,528000.0,525500.0,571400.0,611700.0,635500.0,674600.0,773000.0,802900.0,889600.0,882400.0,960700.0,961000.0,998300.0,998300.0,998300.0
Gibraltar,500.0,500.0,500.0,769.0,769.0,769.0,1066.0,1066.0,1106.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0
Saint Kitts and Nevis,339.0,339.0,339.0,339.0,339.0,726.0,721.0,759.5,719.5,684.0,890.0,921.0,952.0,952.0,952.0
Palau,174.0,174.0,174.0,174.0,124.5,124.5,124.5,164.0,164.0,164.0,164.0,221.0,245.5,245.5,245.5
Solomon Islands,800.0,800.0,800.0,800.0,800.0,800.0,948.0,1546.0,1559.0,1627.0,1922.0,1858.0,1958.0,1958.0,1958.0
Central African Republic,4600.0,4296.0,4183.0,4248.0,4677.0,4998.0,3007.0,3184.0,3468.0,3446.0,3847.0,3849.0,3336.0,3336.0,3336.0
India,2660000.0,2664000.0,3033000.0,3319000.0,3666000.0,4163999.9999999995,2966000.0,3304000.0,4046000.0000000005,4059999.9999999995,4735000.0,4716000.0,4990000.0,4990000.0,4990000.0
Venezuela,146200.0,131700.0,117900.0,145200.0,162100.0,186300.0,334300.0,356300.0,344200.0,345200.0,402100.0,397900.0,407400.0,407400.0,407400.0
Ecuador,39600.0,42650.0,45650.0,49510.0,57230.0,61520.0,98710.0,108000.0,114700.0,115000.0,134700.0,149500.0,157600.0,157600.0,157600.0
Turkmenistan,21500.0,31340.0,27880.0,27600.0,39140.0,42840.0,26920.0,31280.0,36640.0,36900.0,47550.0,48510.0,55160.0,55160.0,55160.0
East Timor,415.0,440.0,440.0,370.0,370.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russia,1270000.0,1409000.0,1282000.0,1408000.0,1584000.0,1746000.0,2097000.0,2271000.0,2229000.0,2223000.0,2509000.0,2486000.0,2553000.0,2553000.0,2553000.0
Trinidad and Tobago,10600.0,11070.0,10520.0,11480.0,18110.0,21060.0,26790.0,29090.0,27100.0,26100.0,27120.0,26350.0,27140.0,27140.0,27140.0
Guadeloupe,3700.0,3700.0,3513.0,3513.0,3513.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,26200.0,25190.0,28170.0,29930.0,29110.0,31260.0,26700.0,28950.0,30940.0,33310.0,41100.0,40430.0,45900.0,45900.0,45900.0
San Marino,940.0,940.0,940.0,940.0,940.0,850.0,850.0,1662.0,1662.0,1137.0,1357.0,1335.0,1306.0,1306.0,1306.0
"Bahamas, The",5000.0,4590.0,5049.0,5295.0,6105.0,6556.0,8553.0,9352.0,8878.0,8921.0,11040.0,11040.0,11400.0,11400.0,11400.0
Philippines,335000.0,379700.0,390700.0,430600.0,412500.0,449800.0,300100.0,318200.0,351200.0,351400.0,416700.0,419600.0,454300.0,454300.0,454300.0
Brunei,6200.0,6500.0,6500.0,6842.0,6842.0,9557.0,19640.0,19580.0,19880.0,20380.0,21940.0,21640.0,22250.0,22250.0,22250.0
Ghana,39400.0,41250.0,44440.0,48270.0,54860.0,60000.0,31130.0,34520.0,38240.0,61970.0,83180.0,82650.0,90410.0,90410.0,90410.0
Morocco,112000.0,121800.0,128300.00000000001,134600.0,135100.0,152500.0,125000.0,137900.0,153800.0,151400.0,171000.0,168900.0,180000.0,180000.0,180000.0
Laos,9200.0,10400.0,10320.0,11280.0,12290.0,13740.0,12800.0,14010.0,15420.0,15690.0,19160.0,18920.0,20780.0,20780.0,20780.0
Hong Kong,180000.0,198500.0,213000.0,234500.0,234300.0,259100.00000000003,293300.0,307300.0,323300.0,325800.0,363700.0,365600.0,381300.0,381300.0,381300.0
Equatorial Guinea,1040.0,1270.0,1270.0,1270.0,25690.0,25690.0,15540.0,23000.0,24660.0,23820.0,28030.0,19700.0,19680.0,19680.0,19680.0
Kenya,31000.0,32890.0,33030.0,34680.0,37890.0,41480.0,61220.0,61650.0,65950.0,66030.0,76070.0,75000.0,79900.0,79900.0,79900.0
Jersey,2200.0,2200.0,2200.0,3600.0,3600.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0,5100.0
Romania,152700.0,169300.0,155000.0,171500.0,181800.0,202200.0,247100.0,272000.0,253300.0,254200.0,274100.0,271400.0,288500.0,288500.0,288500.0
Kosovo,NA,NA,NA,NA,NA,NA,4000.0,5000.0,5300.0,11970.0,13560.0,13560.0,14110.0,14110.0,14110.0
Costa Rica,31900.0,32000.0,35340.0,37970.0,45670.0,50890.0,45770.0,48840.0,51300.0,51170.0,58600.0,58550.0,61430.0,61430.0,61430.0
Eritrea,3200.0,3300.0,3300.0,4154.0,4471.0,4751.0,3619.0,3954.0,4178.0,3625.0,4412.0,4349.0,4717.0,4717.0,4717.0
Egypt,258000.0,289800.0,295200.0,316300.0,304300.0,334400.0,405400.0,444800.0,500900.0,497800.0,537800.0,534100.0,551400.0,551400.0,551400.0
French Polynesia,1300.0,1300.0,4580.0,4580.0,4580.0,4580.0,4580.0,4718.0,4718.0,4718.0,4718.0,5650.0,5650.0,5650.0,5650.0
Botswana,12400.0,13480.0,14200.0,15050.0,17530.0,17930.0,26040.0,27110.0,26560.0,28490.0,31490.0,32270.000000000004,34000.0,34000.0,34000.0
Israel,122000.0,117400.0,120900.0,129000.0,156900.0,170300.0,185800.0,203400.0,217100.0,219400.0,247900.0,260899.99999999997,273200.0,273200.0,273200.0
"Congo, Democratic Republic of the",32000.0,34000.0,40050.0,42740.0,40670.0,44440.0,19030.0,20760.0,22920.0,23120.0,27530.0,27290.0,29390.0,29390.0,29390.0
"Macedonia, The Former Yugoslav Republic of",10000.0,10570.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,3100.0,3000.0,3158.0,3158.0,3158.0,3158.0,3158.0,3158.0,3158.0,3158.0,3158.0,9280.0,9280.0,9280.0,9280.0
Singapore,106300.0,112400.0,109400.0,120900.0,126500.0,141200.0,227100.0,237900.0,292200.0,291900.0,326700.0,323000.0,339000.0,339000.0,339000.0
Netherlands Antilles,2400.0,2400.0,2450.0,2450.0,2800.0,2800.0,2800.0,2800.0,NA,NA,NA,NA,NA,NA,NA
Vanuatu,257.0,563.0,563.0,580.0,276.3,739.0,897.0,990.8,1216.0,1137.0,1237.0,1213.0,1270.0,1270.0,1270.0
Turks and Caicos Islands,128.0,231.0,231.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,632.0,632.0,632.0,632.0
Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,794.7,794.7,794.7,798.3,798.3,798.3,798.3
Tonga,225.0,236.0,236.0,244.0,178.5,178.5,526.0,548.1,767.0,751.0,786.0,826.0,846.0,846.0,846.0
Benin,6800.0,7380.0,7742.0,8338.0,8419.0,8989.0,12000.0,12860.0,14200.0,13990.0,15510.0,15640.0,16650.0,16650.0,16650.0
Montenegro,NA,NA,NA,NA,2412.0,3443.0,5918.0,6832.0,6569.0,6724.0,7288.0,7219.0,7429.0,7429.0,7429.0
Syria,54200.0,63480.0,58010.0,60440.0,71420.0,78040.0,90370.0,99060.0,106400.0,107400.0,107600.0,107600.0,107600.0,107600.0,107600.0
Kazakhstan,98100.0,120000.0,105500.0,118400.0,125300.0,143400.0,168200.0,176200.0,193800.0,196400.0,232300.0,228700.0,243600.0,243600.0,243600.0
World,47000000.0,49000000.0,51480000.0,55500000.0,60630000.0,65959999.99999999,65610000.0,70140000.0,74430000.0,74540000.0,83230000.0,83660000.0,87250000.0,87250000.0,87250000.0
Bermuda,2200.0,2250.0,2330.0,2330.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,5600.0,5600.0,5600.0,5600.0
Indonesia,687000.0,714200.0,758800.0,827400.0,869700.0,948300.0,843700.0,916700.0,1032999.9999999999,1030000.0,1212000.0,1204000.0,1285000.0,1285000.0,1285000.0
Norway,143000.0,149100.0,171700.0,183000.0,196400.0,213600.0,246600.0,276300.0,276400.0,255300.0,278100.0,274100.0,282200.0,282200.0,282200.0
Ukraine,205000.0,218000.0,260399.99999999997,299100.0,329100.0,364300.0,324800.0,338600.0,306300.0,305200.0,344700.0,331600.0,337400.0,337400.0,337400.0
