Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Saint Lucia,319.4,319.4,267.0,267.0,410.0,410.0,791.0,791.0,791.0,550.0,526.2,579.3,592.7,592.7,592.7
Aruba,2610.0,2210.0,841.0,841.0,875.0,875.0,1054.0,1054.0,1054.0,2063.0,3476.0,2039.0000000000002,3162.0,3162.0,3162.0
Croatia,9700.0,10700.0,12860.0,16700.0,18930.0,21120.0,25990.0,30420.0,20930.0,19940.0,21130.0,20370.0,21740.0,21740.0,21740.0
Saudi Arabia,29700.0,39500.0,30380.0,36210.0,44930.0,64160.0,82640.0,108300.0,99170.0,88350.0,136800.0,141800.0,147000.0,147000.0,147000.0
Liechtenstein,917.3,917.3,917.3,917.3,917.3,917.3,917.3,917.3,2590.0,1770.0,1882.0,2218.0,2090.0,2090.0,2090.0
Guatemala,4900.0,5600.0,5749.0,7770.0,7744.0,11070.0,12620.0,13420.0,12650.0,12860.0,15570.0,15840.0,16700.0,16700.0,16700.0
Uganda,1260.0,1140.0,1179.0,1306.0,1608.0,2249.0,2983.0,3980.0,4474.0,4264.0,5528.0,5187.0,4858.0,4858.0,4858.0
Cameroon,1500.0,1700.0,1959.0,1979.0,2514.0,3127.0,3714.0,4303.0,4869.0,4975.0,6597.0,6321.0,6795.0,6795.0,6795.0
Laos,540.0,555.0,492.0,579.5,541.0,922.0,1378.0,1384.0,1504.0,2060.0,2645.0,2744.0,3238.0,3238.0,3238.0
Marshall Islands,54.0,54.0,54.0,54.0,54.7,54.7,54.7,79.4,79.4,79.4,79.4,118.7,118.7,118.7,118.7
Oman,5400.0,5500.0,5659.0,6373.0,8709.0,9928.0,11000.0,20710.0,19300.0,17870.0,23370.0,25630.0,30750.0,30750.0,30750.0
Palau,126.0,99.0,99.0,99.0,107.3,107.3,107.3,107.3,107.3,107.3,113.4,113.4,113.4,113.4,113.4
"Korea, North",1874.0,1314.0,2041.9999999999998,2100.0,2819.0,2720.0,2879.0,3055.0,3096.0,3096.0,4000.0,4330.0,4828.0,4828.0,4828.0
Cook Islands,50.7,50.7,50.7,50.7,81.04,81.04,81.04,81.04,81.04,81.04,83.49,83.49,83.49,83.49,83.49
Papua New Guinea,1024.0,1100.0,967.0,1353.0,1651.0,1958.0,2629.0,3124.0,3547.0,3529.0,5269.0,4767.0,4587.0,4587.0,4587.0
Canada,229000.0,229000.0,240400.0,256100.00000000003,317700.0,356500.0,386400.0,415200.0,406400.0,401700.0,480900.0,474900.0,471000.0,471000.0,471000.0
Turks and Caicos Islands,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,175.6,591.3,591.3,591.3,591.3
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,1340.0,2800.0,2500.0,2500.0,1285.0,1285.0,1285.0
World,6300000.0,6600000.0,6531000.0,8754000.0,10300000.0,11950000.0,13740000.0,15970000.0,14680000.0,14920000.0,18240000.0,17840000.0,18360000.0,18360000.0,18360000.0
Afghanistan,1300.0,1300.0,1006.9999999999999,3759.0,3870.0,3870.0,3823.0,4850.0,5300.0,5300.0,6390.0,6390.0,6390.0,6390.0,6390.0
Central African Republic,154.0,102.0,136.0,136.0,203.0,203.0,237.3,237.3,237.3,312.2,341.2,333.7,218.6,218.6,218.6
