Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sweden,68600.0,68600.0,83270.0,97970.0,104400.0,132800.0,151400.0,167800.0,158600.0,149500.0,166400.0,163300.0,158000.0,158000.0,158000.0
Saint Vincent and the Grenadines,185.6,185.6,174.0,174.0,225.0,225.0,578.0,578.0,578.0,320.8,366.5,314.6,301.5,301.5,301.5
Algeria,10600.0,10600.0,12420.0,15250.0,22530.0,21240.0,26250.0,39160.0,37070.0,38380.0,47530.0,51570.0,55020.0,55020.0,55020.0
Zambia,12050.0,1123.0,1128.0,1519.0,1934.0,2625.0,3611.0,4694.0,4949.0,4710.0,7279.0,7961.0,8216.0,8216.0,8216.0
Faroe Islands,469.0,469.0,466.0,466.0,639.0,639.0,751.0,751.0,983.0,983.0,776.0,776.0,776.0,776.0,776.0
Anguilla,80.9,80.9,80.9,80.9,129.9,129.9,143.0,143.0,143.0,175.0,138.6,129.3,140.1,140.1,140.1
Ghana,2830.0,2800.0,3240.0,3699.0,4273.0,6604.0,8053.000000000001,10260.0,10180.0,10950.0,17520.0,17760.0,18490.0,18490.0,18490.0
Hungary,33900.0,33900.0,46190.0,58680.0,64830.0,74020.0,86880.0,106500.0,87440.0,87080.0,100800.0,87370.0,89520.0,89520.0,89520.0
Comoros,44.9,39.8,88.0,88.0,115.0,115.0,143.0,143.0,143.0,188.8,211.2,208.0,208.8,208.8,208.8
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,600.0,630.0,927.0,927.0,1858.0,1858.0,2358.0,2358.0,2358.0,2380.0,3209.0,2794.0,2895.0,2895.0,2895.0
Rwanda,248.0,253.0,245.8,260.0,243.0,436.0,637.0,834.0,1047.0,1121.0,1414.0,1871.0,1937.0,1937.0,1937.0
San Marino,NA,NA,NA,NA,NA,2035.0000000000002,2035.0000000000002,3744.0,3744.0,2165.0,2132.0,2551.0,2551.0,2551.0,2551.0
Cote d'Ivoire,2400.0,2500.0,2781.0,3360.0,4759.0,5039.0,5932.0,6760.0,7015.0,6925.0,8406.0,8973.0,9859.0,9859.0,9859.0
Nicaragua,1600.0,1700.0,1658.0,2020.0,2865.0,3422.0,4078.0000000000005,4848.0,4700.0,4792.0,6519.0,6450.0,5650.0,5650.0,5650.0
"Bahamas, The",1880.0,1860.0,1614.0,1630.0,1820.0,2160.0,2401.0,2401.0,2401.0,2591.0,2882.0,3386.0,3245.0,3245.0,3245.0
Martinique,2000.0,2000.0,2000.0,2000.0,2307.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,3900.0,3900.0,4921.0,5970.0,8189.999999999999,10990.0,14820.0,15650.0,9153.0,10540.0,15920.0,15150.0,15560.0,15560.0,15560.0
Venezuela,18400.0,18800.0,10710.0,14980.0,24630.0,32229.999999999996,45460.0,48100.0,31370.0,38610.0,56690.0,59310.0,59320.0,59320.0,59320.0
Jordan,4400.0,4400.0,4946.0,7600.0,8681.0,10260.0,12020.0,14990.0,12970.0,12970.0,17730.0,18460.0,18610.0,18610.0,18610.0
Montserrat,26.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,31.5,30.0,32.5,30.0,30.0,30.0
New Caledonia,1000.0,1000.0,1006.9999999999999,1006.9999999999999,1636.0,1780.0,1998.0,1998.0,1998.0,2580.0,3313.0,3245.0,3245.0,3245.0,3245.0
Sudan,1600.0,1500.0,2383.0,3496.0,5028.0,7105.0,7722.0,8229.0,8483.0,8839.0,6645.0,8122.999999999999,5941.0,5941.0,5941.0
Kazakhstan,8200.0,9600.0,8621.0,13070.0,17510.0,24120.0,33210.0,38450.0,30110.0,31960.0,42820.0,49080.0,52030.0,52030.0,52030.0
Puerto Rico,27000.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,41430.0,46580.0,49000.0,47320.0,47320.0,47320.0
