Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nigeria,20300.0,17300.0,21800.0,33990.0,52160.0,57460.0,61790.0,76030.0,76330.0,73700.0,97460.0,95680.0,93550.0,93550.0,93550.0
Liberia,55.0,110.0,1079.0,1079.0,910.0,910.0,1197.0,1197.0,1197.0,207.0,506.5,774.8,929.8,929.8,929.8
Botswana,2500.0,2400.0,2544.0,2940.0,3680.0,4587.0,5025.0,4707.0,4419.0,4591.0,5887.0,6011.0,7569.0,7569.0,7569.0
Croatia,5100.0,4900.0,6355.0,7845.0,10300.0,10610.0,12620.0,14360.0,11510.0,12070.0,13040.0,12600.0,12360.0,12360.0,12360.0
Egypt,7100.0,7000.0,8759.0,11000.0,14330.0,20550.0,24450.0,29850.0,25340.0,25020.0,28370.0,24930.0,24810.0,24810.0,24810.0
Angola,7000.0,8600.0,9669.0,12760.0,26800.0,31340.0,45030.0,66300.0,51650.0,50590.0,71950.0,71090.0,70840.0,70840.0,70840.0
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Mauritania,359.0,355.0,541.0,541.0,784.0,784.0,1395.0,1395.0,1395.0,2040.0,2878.0,2642.0,2728.0,2728.0,2728.0
Virgin Islands,NA,NA,NA,NA,4234.0,4234.0,4234.0,4234.0,4234.0,4234.0,4234.0,4234.0,4234.0,4234.0,4234.0
Singapore,122000.0,127000.0,142400.0,174000.0,204800.0,289400.0,302700.0,342700.0,358300.0,358400.0,430600.0,435800.0,410300.0,410300.0,410300.0
"Micronesia, Federated States of",22.0,22.0,22.0,22.0,14.0,14.0,14.0,14.0,14.0,14.0,24.9,24.9,24.9,24.9,24.9
Bosnia and Herzegovina,1100.0,1150.0,1280.0,1700.0,2700.0,3382.0,4243.0,5194.0,4787.0,4937.0,5427.0,3306.0,5687.0,5687.0,5687.0
Germany,608000.0,608000.0,696900.0,893300.0,1016000.0,1131000.0,1354000.0,1498000.0,1337000.0,1303000.0,1492000.0,1460000.0,1493000.0,1493000.0,1493000.0
Djibouti,260.0,70.0,155.0,155.0,250.0,250.0,340.0,340.0,100.0,71.2,101.7,87.9,90.8,90.8,90.8
Dominica,49.0,50.0,39.0,39.0,74.0,74.0,94.0,94.0,94.0,42.8,41.0,40.6,40.4,40.4,40.4
Estonia,3400.0,3400.0,4075.0,5701.0,7439.0,9654.0,11080.0,12630.0,10770.0,11660.0,17380.0,14460.0,15110.0,15110.0,15110.0
Guadeloupe,140.0,140.0,140.0,140.0,147.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,2800.0,2800.0,2830.0,3700.0,5000.0,5690.0,8050.000000000001,10370.0,13130.0,12010.0,12580.0,14380.0,14910.0,14910.0,14910.0
