Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United Arab Emirates,74.52,74.75,74.99,75.24,75.44,75.69,75.89,76.11,76.32,76.51,76.71,76.91,77.09,77.09,77.09
Timor-Leste,NA,NA,NA,NA,NA,66.6,66.94,67.27,67.61,67.95,68.27,67.06,67.39,67.39,67.39
Venezuela,73.56,73.81,74.06,74.31,74.54,73.28,73.45,73.61,73.77,73.93,74.08,74.23,74.39,74.39,74.39
Zimbabwe,36.5,39.01,37.82,39.13,39.29,39.5,44.28,45.77,47.55,49.64,51.82,53.86,55.68,55.68,55.68
Dominican Republic,73.68,67.96,67.63,71.44,71.73,73.07,73.39,73.7,77.15,77.31,77.44,77.62,77.8,77.8,77.8
"Korea, North",71.3,70.79,71.08,71.37,71.65,71.92,72.2,63.81,64.13,68.89,69.2,69.51,69.81,69.81,69.81
Rwanda,38.66,39.33,39.18,46.96,47.3,48.99,49.76,50.52,57.46,58.02,58.44,58.85,59.26,59.26,59.26
Tanzania,51.7,44.56,44.39,45.24,45.64,50.71,51.45,52.01,52.49,52.85,53.14,60.76,61.24,61.24,61.24
Falkland Islands (Islas Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadeloupe,77.35,77.53,77.71,77.9,78.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Bank,72.47,72.68,72.88,73.08,73.27,73.46,74.29,74.54,74.78,75.01,75.24,75.46,75.69,75.69,75.69
Chad,51.27,48.51,48.24,47.18,47.52,47.2,47.43,47.7,47.99,48.33,48.69,49.07,49.44,49.44,49.44
Mali,47.39,45.43,45.28,48.64,49.0,49.51,49.94,50.35,52.17,52.61,53.06,54.55,54.95,54.95,54.95
Paraguay,74.16,74.4,74.64,74.89,75.1,75.34,75.56,75.77,75.99,76.19,76.4,76.6,76.8,76.8,76.8
Burma,55.41,55.79,56.01,60.7,60.97,62.49,62.94,63.39,64.52,64.88,65.24,65.6,65.94,65.94,65.94
"Gambia, The",53.98,54.38,54.79,53.75,54.14,54.54,54.95,55.35,54.07,63.51,63.82,64.09,64.36,64.36,64.36
Somalia,46.96,47.34,47.71,48.09,48.47,48.84,49.25,49.63,50.0,50.4,50.8,51.19,51.58,51.58,51.58
Cote d'Ivoire,44.72,42.65,42.48,48.62,48.82,49.0,54.64,55.45,56.19,56.78,57.25,57.66,58.01,58.01,58.01
Libya,75.86,76.07,76.28,76.5,76.69,76.88,77.07,77.26,77.47,77.65,77.83,75.83,76.04,76.04,76.04
New Zealand,78.15,78.32,78.49,78.66,78.81,78.96,80.24,80.36,80.48,80.59,80.71,80.82,80.93,80.93,80.93
Afghanistan,46.6,46.97,42.46,42.9,43.34,43.77,44.21,44.64,44.65,45.02,49.72,50.11,50.49,50.49,50.49
French Polynesia,75.23,75.45,75.67,75.9,76.1,76.31,76.51,76.71,76.91,77.1,76.39,76.59,76.79,76.79,76.79
Bahrain,73.47,73.72,73.98,74.23,74.45,74.68,74.92,75.16,75.4,78.15,78.29,78.43,78.58,78.58,78.58
Ethiopia,44.21,41.24,40.88,48.83,49.03,49.23,54.99,55.41,55.8,56.19,56.56,60.0,60.75,60.75,60.75
Malta,78.26,78.43,78.68,78.86,79.01,79.15,79.3,79.44,79.59,79.72,79.85,79.98,80.11,80.11,80.11
Reunion,73.18,73.43,73.69,73.95,74.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Pierre and Miquelon,77.93,78.11,78.28,78.46,78.61,78.76,78.91,79.07,79.74,79.87,80.0,80.13,80.26,80.26,80.26
Niger,41.91,42.21,42.18,43.5,43.76,44.03,44.28,52.6,52.99,53.4,53.8,54.34,54.74,54.74,54.74
Azerbaijan,63.06,63.16,63.25,63.35,63.85,65.96,66.31,66.66,67.01,67.36,71.32,71.61,71.91,71.91,71.91
Togo,54.02,53.43,53.05,57.01,57.42,57.86,58.28,58.69,62.25,62.71,63.17,63.62,64.06,64.06,64.06
Tuvalu,66.98,67.32,67.66,68.01,68.32,68.63,68.97,69.29,64.39,64.75,65.11,65.47,65.81,65.81,65.81
Guinea-Bissau,49.8,46.97,46.98,46.61,46.87,47.18,47.52,47.9,48.3,48.7,49.11,49.5,49.87,49.87,49.87
Moldova,64.74,64.88,65.03,65.18,65.65,70.2,70.5,70.8,71.09,71.37,69.51,69.82,70.12,70.12,70.12
Turks and Caicos Islands,73.76,74.0,74.25,74.51,74.73,74.95,75.19,75.42,75.64,79.11,79.26,79.4,79.55,79.55,79.55
Eritrea,56.57,53.18,52.7,58.47,59.03,59.55,61.38,61.78,62.15,62.52,62.86,63.19,63.51,63.51,63.51
Senegal,62.93,56.37,56.56,58.9,59.25,56.69,57.08,59.0,59.38,59.78,60.18,60.57,60.95,60.95,60.95
Sweden,79.84,79.97,80.3,80.4,80.51,80.63,80.74,80.86,80.97,81.07,81.18,81.28,81.89,81.89,81.89
Cayman Islands,79.18,79.67,79.81,79.95,80.07,80.2,80.32,80.44,80.57,80.68,80.8,80.91,81.02,81.02,81.02
Macau,81.78,81.87,82.03,82.12,82.19,82.27,84.33,84.36,84.38,84.41,84.43,84.46,84.48,84.48,84.48
Antigua and Barbuda,71.02,71.31,71.6,71.9,72.16,72.42,74.25,74.76,75.26,75.48,75.69,75.91,76.12,76.12,76.12
Peru,70.59,70.88,69.22,69.53,69.84,70.14,70.44,70.74,71.03,72.47,72.73,72.98,73.23,73.23,73.23
Portugal,76.14,76.35,77.35,77.53,77.7,77.87,78.04,78.21,78.38,78.54,78.7,78.85,79.01,79.01,79.01
Burundi,45.94,43.2,43.36,50.29,50.81,51.29,51.71,52.09,58.29,58.78,59.24,59.69,59.55,59.55,59.55
Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,74.16,74.4,74.66,74.89,75.12,75.34,75.56,75.78,75.99,75.01,75.24,75.46,75.68,75.68,75.68
Israel,78.86,79.02,79.17,79.32,79.46,79.59,80.61,80.73,80.86,80.96,81.07,81.17,81.28,81.28,81.28
Serbia,NA,NA,NA,NA,74.0,75.06,75.29,73.9,74.09,74.32,74.56,74.79,75.02,75.02,75.02
Slovakia,74.2,74.43,74.19,74.5,74.73,74.95,75.17,75.4,75.62,75.83,76.03,76.24,76.69,76.69,76.69
Mayotte,60.21,60.6,60.99,61.39,61.76,62.16,62.54,62.91,63.28,NA,NA,NA,NA,NA,NA
Austria,78.0,78.17,78.87,78.92,79.07,79.21,79.36,79.5,79.65,79.78,79.91,80.04,80.17,80.17,80.17
Croatia,74.13,74.37,74.14,74.45,74.68,74.9,75.13,75.35,75.58,75.79,75.99,76.2,76.41,76.41,76.41
Guyana,62.59,63.09,62.43,65.5,65.86,66.17,66.43,66.68,66.74,67.08,67.39,67.68,67.81,67.81,67.81
Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,71.9,69.23,69.1,68.96,69.01,73.23,73.48,73.73,73.98,74.22,71.12,71.41,71.69,71.69,71.69
Trinidad and Tobago,68.59,69.59,69.28,66.73,66.76,66.85,67.0,70.86,71.09,71.37,71.67,71.96,72.29,72.29,72.29
Iraq,67.38,67.81,68.26,68.7,69.01,69.31,69.62,69.94,70.25,70.55,70.85,71.14,71.42,71.42,71.42
Hong Kong,79.8,79.93,81.39,81.5,81.59,81.68,81.77,81.86,81.96,82.04,82.12,82.2,82.78,82.78,82.78
Pakistan,61.82,62.2,62.61,63.0,63.39,63.75,64.13,64.49,65.63,65.99,66.35,66.71,67.05,67.05,67.05
Kazakhstan,63.38,63.48,66.07,66.55,66.89,67.22,67.55,67.87,68.19,68.51,69.63,69.94,70.24,70.24,70.24
"Congo, Democratic Republic of the",49.13,48.93,49.14,51.1,51.46,57.2,53.98,54.36,54.73,55.33,55.74,56.14,56.54,56.54,56.54
Jordan,77.71,77.88,78.06,78.24,78.4,78.55,78.71,78.87,79.92,80.05,80.18,80.3,74.1,74.1,74.1
Tonga,68.56,68.88,69.2,69.53,69.82,70.12,70.44,70.73,71.03,75.16,75.38,75.6,75.82,75.82,75.82
Faroe Islands,78.74,78.9,79.05,79.21,79.35,79.49,79.29,79.44,79.58,79.72,79.85,79.98,80.11,80.11,80.11
Argentina,75.48,75.48,75.7,75.91,76.12,76.32,76.36,76.56,76.76,76.95,77.14,77.32,77.51,77.51,77.51
"Macedonia, The Former Yugoslav Republic of",74.26,74.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
