Country,Country_code,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Netherlands,NLD,UPPSRY,41.481255,41.902199,42.813576,41.678982,41.368679,41.703503,42.17561,42.379169,41.124588,40.6106,40.584415,40.242668,39.025169,41.925877,41.481617,41.06881,41.067532
New Zealand,NZL,BUPPSRY,36.803673,35.522774,34.41552,33.131687,32.920467,31.6005,31.062853,28.924793,27.94714,27.84214,26.960302,25.886049,25.939383,28.640007,25.924784,25.277622,23.423424
New Zealand,NZL,TRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.628941,34.040531,36.275139
New Zealand,NZL,UPPSRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.446278,40.681847,40.301437
Norway,NOR,BUPPSRY,0,0,0,0,0,22.786383,21.103868,21.07445,19.278467,19.276142,19.372442,18.103582,17.945995,17.591412,18.052679,17.628136,17.761009
Norway,NOR,TRY,0,0,0,0,0,32.692787,32.926327,34.198307,36.004189,36.698498,37.284328,38.053513,38.561893,39.770252,41.757915,42.706734,43.016758
Norway,NOR,UPPSRY,0,0,0,0,0,44.520832,45.969803,44.727242,44.717346,44.02536,43.343231,43.842903,43.492111,42.638336,40.189404,39.665131,39.222229
Poland,POL,BUPPSRY,20.119442,19.421961,18.766407,17.379782,16.07354,14.887128,14.18797,13.698365,12.851042,12.027865,11.485272,11.087381,10.402209,9.8658543,9.4829636,9.2220259,8.6792269
Poland,POL,TRY,11.36204,11.885846,12.585118,14.17064,15.709586,16.926928,17.891872,18.688519,19.565832,21.150869,22.468407,23.283596,24.512804,25.755669,26.995474,27.747267,28.711193
Poland,POL,UPPSRY,68.518517,68.692192,68.648476,68.449577,68.216873,68.185944,67.920158,67.613113,67.583122,66.821266,66.046318,65.629021,65.084984,64.378479,63.521564,63.030708,62.609581
Portugal,PRT,BUPPSRY,80.625755,79.761848,79.307739,77.178673,74.843437,73.549492,72.390388,72.544418,71.75206,70.095329,68.082458,64.972481,62.369896,59.952484,56.719505,54.877064,53.091141
Portugal,PRT,TRY,8.8429394,9.2361002,9.4179335,10.958982,12.516933,12.844431,13.480192,13.692096,14.300379,14.66682,15.445285,17.25703,18.534111,19.307142,21.7169,22.857506,23.847389
Portugal,PRT,UPPSRY,10.531308,11.002051,11.274323,11.862341,12.639626,13.606074,14.129419,13.763488,13.947564,15.237852,16.472258,17.770487,19.095991,20.740372,21.563595,22.26543,23.06147
Slovakia,SVK,BUPPSRY,16.193579,14.879944,14.090524,13.300556,13.002023,12.130613,11.190296,10.840645,10.066078,9.0549088,9.034791,8.7385187,8.2851295,8.2006197,9.1611462,8.7147398,8.2509651
Slovakia,SVK,TRY,10.37334,10.942797,10.958904,11.784762,12.776853,14.004099,14.567307,14.438412,14.763523,15.762831,17.327984,18.617317,18.979084,19.87734,20.379578,21.149881,21.979519
Slovakia,SVK,UPPSRY,73.433083,74.177261,74.950569,74.91468,74.221123,73.865288,74.242401,74.72094,75.170403,75.182259,73.63723,72.644165,72.735786,71.922043,70.459274,70.135376,69.769516
Spain,ESP,BUPPSRY,61.405891,59.625759,57.760826,56.340916,54.636044,51.243546,50.311646,49.358929,48.898933,48.375061,47.127037,45.960678,45.344112,44.545616,43.382374,42.565994,41.726074
Spain,ESP,TRY,22.704889,23.751223,24.921057,25.625629,26.748661,28.518797,28.809401,29.27644,29.519304,29.989544,31.016668,31.91456,32.649994,33.734821,34.678776,35.081161,35.693489
Spain,ESP,UPPSRY,15.889219,16.623016,17.318115,18.033455,18.615295,20.237658,20.878954,21.364632,21.58176,21.635395,21.856297,22.12476,22.005894,21.719563,21.93885,22.352846,22.580437
Sweden,SWE,BUPPSRY,22.448189,19.359905,18.423943,17.800028,17.057032,16.40815,15.924377,15.411971,14.958108,14.261111,13.727367,12.964911,12.497745,11.829718,18.445162,18.024088,17.272491
Sweden,SWE,TRY,30.122953,31.602741,32.56509,33.419739,34.529377,29.645443,30.520433,31.328465,32.02702,33.060085,33.868935,35.174355,35.698952,37.034386,38.700306,39.786552,41.139179
Sweden,SWE,UPPSRY,47.42886,49.037354,49.010967,48.780231,48.413593,53.946407,53.555191,53.259563,53.01487,52.678806,52.403698,51.860733,51.803307,51.135899,42.85453,42.189362,41.588329
Switzerland,CHE,BUPPSRY,16.120359,15.138646,15.060054,15.401092,14.979352,14.753095,14.6002,14.042429,13.19206,13.083202,14.966761,15.176706,14.334973,13.589899,12.776213,12.704829,12.564119
Switzerland,CHE,TRY,24.177282,25.401983,25.385767,26.875856,28.088779,28.763943,29.851349,31.327906,33.652287,35.020153,33.881504,34.000179,35.291126,37.407192,38.428497,39.782719,41.235474
Switzerland,CHE,UPPSRY,59.702358,59.45937,59.55418,57.723049,56.93187,56.482964,55.54845,54.629665,53.155655,51.896645,51.151737,50.823112,50.373901,49.002911,48.795288,47.512451,46.200405
Turkey,TUR,BUPPSRY,76.703934,76.448608,74.994644,73.536079,72.799454,71.917953,70.854713,70.408333,69.691528,68.94503,68.793961,67.851822,66.135818,65.167839,64.367012,63.007553,61.486542
Turkey,TUR,TRY,8.3461838,8.4432325,9.1408987,9.7044678,9.653903,10.23861,10.919287,11.290907,12.040659,12.710275,13.118464,14.034094,15.290227,15.907355,16.693634,18.020138,19.362528
Turkey,TUR,UPPSRY,14.949884,15.108155,15.864458,16.759451,17.546646,17.843439,18.225998,18.300762,18.267813,18.344694,18.087578,18.114084,18.573956,18.924805,18.939352,18.972311,19.15093
United Kingdom of Great Britain and Northern Ireland,GBR,BUPPSRY,37.388611,37.15152,35.746799,34.921486,33.831558,33.16832,29.098894,27.807289,28.359348,26.256872,24.937599,23.167467,21.91477,20.849527,20.83497,20.38233,19.256895
United Kingdom of Great Britain and Northern Ireland,GBR,TRY,25.683083,26.126522,26.840527,27.998173,29.338522,29.709032,34.191841,35.536041,35.216167,36.984959,38.187191,39.412373,40.977753,41.891979,42.217449,44.197987,45.961441
United Kingdom of Great Britain and Northern Ireland,GBR,UPPSRY,36.928307,36.721958,37.412674,37.080341,36.829922,37.12265,36.709263,36.656673,36.424484,36.758167,36.87521,37.420158,37.107475,37.258495,36.947582,35.419685,34.781666
United States of America,USA,BUPPSRY,12.557263,12.616223,12.656256,12.469723,12.092218,12.225618,12.203516,12.088685,11.304346,11.355431,11.030482,10.741901,10.692155,10.371985,10.429553,10.457861,9.8527498
United States of America,USA,TRY,36.494774,37.520222,38.133007,38.42197,39.052998,39.054729,39.486282,40.270866,41.10516,41.214626,41.662415,42.44838,43.052437,43.910252,44.224617,44.629398,45.666355
United States of America,USA,UPPSRY,50.94796,49.863556,49.210739,49.108307,48.854782,48.719654,48.3102,47.640446,47.590492,47.429943,47.307102,46.809719,46.255409,45.717762,45.345833,44.912739,44.480896
Brazil,BRA,BUPPSRY,0,0,0,0,0,0,0,63.191654,61.161831,59.32708,0,56.729549,54.996342,53.588863,52.637005,51.127499,0
Brazil,BRA,TRY,0,0,0,0,0,0,0,9.6238279,10.795494,10.863071,0,11.614742,12.993286,13.746482,14.321353,14.794608,0
Brazil,BRA,UPPSRY,0,0,0,0,0,0,0,27.184517,28.042675,29.809849,0,31.655708,32.010372,32.664654,33.041641,34.077896,0
Chile,CHL,BUPPSRY,0,0,0,0,0,0,0,0,0,43.493385,0,42.320229,0,38.585766,0,35.133507,0
Chile,CHL,TRY,0,0,0,0,0,0,0,0,0,17.120726,0,17.813892,0,21.089819,0,22.475199,0
Chile,CHL,UPPSRY,0,0,0,0,0,0,0,0,0,39.385891,0,39.865879,0,40.324417,0,42.391296,0
