Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Montenegro,NA,NA,NA,NA,27.7%,27.7%,14.7%,14.7%,14.7%,14.7%,11.5%,19.1%,19.1%,19.1%,19.1%
Indonesia,8%,10.6%,8.7%,9.2%,11.8%,12.5%,9.1%,8.4%,7.1%,7.1%,6.7%,6.1%,6.6%,6.6%,6.6%
East Timor,50%,50%,50%,50%,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,10.4%,10.4%,10.7%,10.7%,9%,8.3%,7.3%,6.1%,6.4%,6.7%,6.3%,6.9%,5.8%,5.8%,5.8%
Cote d'Ivoire,13%,13%,13%,13%,13%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,7.6%,7.6%,8.6%,8.8%,7.5%,6.5%,5.7%,7.5%,19.1%,18.4%,14.3%,11.4%,9.8%,9.8%,9.8%
Virgin Islands,4.9%,4.9%,9.3%,9.3%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%,6.2%
Macedonia,NA,NA,36.7%,37.7%,37.3%,36%,34.9%,33.8%,33.1%,32%,31.3%,31%,28.6%,28.6%,28.6%
Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,10.6%,10.6%,10.6%,12%,12%,12%,12%
Gibraltar,13.5%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%
Afghanistan,NA,NA,NA,NA,40%,40%,40%,40%,35%,35%,35%,35%,35%,35%,35%
Kuwait,1.8%,7%,2.1%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,3.4%,3.4%,3.4%
Turkey,10.8%,10.8%,10.5%,9.3%,10.2%,10.2%,9.9%,11%,12.4%,12%,9%,9.2%,9.3%,9.3%,9.3%
India,8.8%,8.8%,9.5%,9.2%,8.9%,7.8%,7.2%,9.1%,10.8%,10%,9.9%,8.5%,8.8%,8.8%,8.8%
Poland,17%,18.1%,20%,19.5%,18.2%,14.9%,12.8%,9.8%,11.8%,12.1%,12.6%,12.8%,10.3%,10.3%,10.3%
Australia,6.3%,6.3%,6%,5.1%,5.1%,4.9%,4.4%,4.2%,5.1%,5.2%,5.2%,5.2%,5.7%,5.7%,5.7%
Yemen,30%,30%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%
Liberia,70%,NA,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
Niue,NA,NA,NA,NA,NA,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
Cuba,4.1%,4.1%,2.6%,2.5%,1.9%,1.9%,1.8%,1.6%,2%,1.6%,3.6%,3.8%,4.3%,4.3%,4.3%
Guyana,9.1%,9.1%,9.1%,9.1%,9.1%,9.1%,9.1%,11%,11%,11%,11%,11%,11%,11%,11%
Martinique,27.2%,27.2%,27.2%,27.2%,27.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,3.9%,3.9%,8%,8%,8%,8%,11.2%,11.2%,11.2%,11.2%
Jordan,16%,16%,16%,15%,12.5%,15.4%,13.5%,12.6%,13.4%,12.5%,12.3%,12.5%,14%,14%,14%
Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,NA,NA,NA,NA,NA,NA,77%,77%,77%,77%,77%,77%,77%,77%,77%
China,NA,NA,10.1%,9.8%,9%,4.2%,4%,4%,4.3%,6.1%,6.4%,6.5%,4.1%,4.1%,4.1%
Uruguay,15.2%,19.4%,16%,13%,12.2%,10.8%,9.2%,7.6%,7.4%,6.7%,6.1%,6%,6.5%,6.5%,6.5%
Bangladesh,35%,40%,40%,40%,2.5%,2.5%,2.5%,2.5%,5.1%,5.1%,5%,5%,5%,5%,5%
Falkland Islands (Islas Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1%,4.1%,4.1%,4.1%,4.1%
Bulgaria,18%,18%,14.3%,12.7%,9.9%,9.6%,7.7%,6.3%,9.5%,9.5%,9.9%,11.1%,11.6%,11.6%,11.6%
Russia,8%,7.9%,8.5%,8.3%,7.6%,6.6%,6.2%,6.4%,7.6%,7.5%,6.2%,5.5%,5.8%,5.8%,5.8%
Seychelles,NA,NA,NA,NA,NA,NA,2%,2%,2%,2%,2%,2%,2%,2%,2%
United Arab Emirates,NA,NA,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%,2.4%
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,25%,25%,6.1%,1.9%,2.4%,2%,4.3%,4.7%,6.4%,4.4%,4.3%,3.2%,1.3%,1.3%,1.3%
Ecuador,NA,NA,NA,NA,10.7%,10.6%,8.8%,7.3%,7.6%,7.6%,5.9%,4.9%,4.2%,4.2%,4.2%
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,30%,NA,NA,NA,NA,30%,30%,30%,8.8%,8.7%,9.2%,9%,8.4%,8.4%,8.4%
Greenland,10%,10%,10%,10%,10%,9.3%,9.3%,9.3%,6.8%,6.8%,4.9%,4.9%,9.4%,9.4%,9.4%
Nigeria,NA,28%,NA,NA,2.9%,5.8%,4.9%,4.9%,4.9%,4.9%,23.9%,23.9%,23.9%,23.9%,23.9%
French Polynesia,NA,11.8%,11.8%,11.8%,11.8%,11.7%,11.7%,11.7%,11.7%,11.7%,11.7%,11.7%,11.7%,11.7%,11.7%
Trinidad and Tobago,11.8%,10.8%,10.4%,10.4%,8%,7%,4.5%,4.6%,6.4%,6.4%,6.3%,5.6%,5.9%,5.9%,5.9%
Sri Lanka,7.7%,8%,8.4%,7.8%,7.7%,7.6%,6%,5.2%,5.4%,5.8%,5.1%,4%,5.1%,5.1%,5.1%
Finland,8.5%,8.5%,9%,8.9%,8.4%,7%,6.9%,6.4%,7.9%,8.4%,7.3%,7.8%,8.1%,8.1%,8.1%
Timor-Leste,NA,NA,NA,NA,NA,50%,50%,20%,20%,20%,18.4%,18.4%,18.4%,18.4%,18.4%
Mali,14.6%,14.6%,14.6%,14.6%,14.6%,14.6%,30%,30%,30%,30%,30%,30%,30%,30%,30%
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,50%,50%,50%,50%,50%,50%,59%,59%,59%,59%,59%,59%,59%,59%,59%
Wallis and Futuna,NA,NA,NA,NA,NA,15.2%,15.2%,15.2%,15.2%,15.2%,15.2%,12.2%,12.2%,12.2%,12.2%
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,14%,14%,14%,14%,14%,14%,14%
Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,12%,12%,9.9%,10.9%,9.5%,10.3%,9.1%,8.7%,9.7%,9%,12.5%,12.7%,13.4%,13.4%,13.4%
Suriname,20%,17%,17%,17%,9.5%,9.5%,9.5%,9.5%,9.5%,9.5%,9%,9%,9%,9%,9%
"Gambia, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,5%,5.8%,6%,5.5%,5.1%,4.8%,4.6%,5.8%,9.6%,9.6%,8.2%,8.1%,7.3%,7.3%,7.3%
Faroe Islands,1%,1%,1%,1%,1%,2.1%,2.1%,1.4%,3.9%,3.9%,6.8%,6.8%,6.8%,6.8%,6.8%
Serbia and Montenegro,28%,32%,34.5%,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
Luxembourg,4.1%,4.1%,3.6%,4.5%,4.5%,4.1%,4.4%,4.4%,5.5%,6%,4.8%,6.1%,4.9%,4.9%,4.9%
Saint Kitts and Nevis,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%
Kenya,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
Serbia,NA,NA,NA,NA,31.6%,31.6%,18.8%,18.8%,17.2%,17.2%,25.9%,25.9%,20.1%,20.1%,20.1%
Nauru,0%,0%,0%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
San Marino,2.6%,2.6%,2.6%,2.6%,2.6%,3.8%,3.8%,3.1%,3.1%,3.8%,5.5%,7%,7%,7%,7%
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,10%,10.2%,11.4%,11.7%,8.7%,7.9%,7.3%,7.4%,7.5%,7.3%,6.9%,7%,7.4%,7.4%,7.4%
