961958220154597379,Fri Feb 09 13:41:26 +0000 2018,923459838406926336,kyilay,en,en
961958220154658822,Fri Feb 09 13:41:26 +0000 2018,903888289198780416,りゅうせい,ja,ja
961958220171436032,Fri Feb 09 13:41:26 +0000 2018,526900858,チョコポ,zh-TW,und
961958220162990080,Fri Feb 09 13:41:26 +0000 2018,702506057638105088,anna collins,en,und
961958220154548225,Fri Feb 09 13:41:26 +0000 2018,777401834474307584,มีหลัวอยู่หลายด้อมค่ะ,en,ko
961958220163031042,Fri Feb 09 13:41:26 +0000 2018,833664637941927936,Ying,en,en
961958220154658816,Fri Feb 09 13:41:26 +0000 2018,956635617739251712,Sachi💖,en,ja
961958220142206976,Fri Feb 09 13:41:26 +0000 2018,379094123,angela 🦁,es,es
961958220150566912,Fri Feb 09 13:41:26 +0000 2018,868479315733827588,rā.,ar,ar
961958220137840641,Fri Feb 09 13:41:26 +0000 2018,919904765336621057,ˢᵁ뚜뚜ᴴᴼ,ko,ko
961958220154642432,Fri Feb 09 13:41:26 +0000 2018,4287970574,鮭達の沈黙,ja,ja
961958220137811968,Fri Feb 09 13:41:26 +0000 2018,1913502684,밤,ko,ko
961958220171444224,Fri Feb 09 13:41:26 +0000 2018,782964399069884417,lilBiT🖤💗,en,en
961958220175691776,Fri Feb 09 13:41:26 +0000 2018,2670786494,Gillian Scott,en,en
961958220142006272,Fri Feb 09 13:41:26 +0000 2018,713236658099847168,御饅頭工場長,en,ja
961958220175572992,Fri Feb 09 13:41:26 +0000 2018,15662714,K,en,en
961958220150394882,Fri Feb 09 13:41:26 +0000 2018,2532516679,❄겨울은❄,ko,ko
961958220175622145,Fri Feb 09 13:41:26 +0000 2018,960902267263098880,นัดเสียวเชียงใหม่,th,und
961958220146159616,Fri Feb 09 13:41:26 +0000 2018,925733611847933953,ふぶき@じんクラ@テオファミ@幸せ者,ja,ja
961958220163055616,Fri Feb 09 13:41:26 +0000 2018,69274934,Jibs,en,en
961958220154601472,Fri Feb 09 13:41:26 +0000 2018,766522998828376064,JUNE 🎗,ko,ko
961958220163006466,Fri Feb 09 13:41:26 +0000 2018,959979301822119936,haehae,en,tl
961958220163174400,Fri Feb 09 13:41:26 +0000 2018,154108843,POP SKIN,ko,ko
961958220175732736,Fri Feb 09 13:41:26 +0000 2018,763925441237221377,@karlcharx 💖s mein kampf,en,und
961958220146364416,Fri Feb 09 13:41:26 +0000 2018,930926551,Germán Cárdenas,en,en
961958220158791680,Fri Feb 09 13:41:26 +0000 2018,1383522186,❄슈슝슘❄,ko,ko
961958220167286784,Fri Feb 09 13:41:26 +0000 2018,1569640286,julia,pt,pt
961958220142129153,Fri Feb 09 13:41:26 +0000 2018,849119790966996992,Nat,en,en
961958220154667009,Fri Feb 09 13:41:26 +0000 2018,961933218084728834,💛adnan💛,ar,und
961958220175638528,Fri Feb 09 13:41:26 +0000 2018,2232043023,Deb,en,en
961958220175695874,Fri Feb 09 13:41:26 +0000 2018,726157470461218816,alcesmoose 87%,de,de
961958220137947136,Fri Feb 09 13:41:26 +0000 2018,338082675,Marcelline the ass eating vampire queen,en,en
961958220146315264,Fri Feb 09 13:41:26 +0000 2018,2813932890,angie,en,en
961958220171436033,Fri Feb 09 13:41:26 +0000 2018,877423141680668672,쏘스윗해옹~💕,ko,ko
961958220142186496,Fri Feb 09 13:41:26 +0000 2018,762727572551634945,Melzinha,pt,und
961958220150575104,Fri Feb 09 13:41:26 +0000 2018,293750330,Nicola Difino,it,it
961958220146323457,Fri Feb 09 13:41:26 +0000 2018,2390405510,Ricardo Ahuath,es,und
